Name;Capacity;Materials
-1.1;40;Ordenadores
-1.2;30;Ordenadores
2.1;38;Ordenadores,Proyector,Retroproyector_transparencias
2.2;26;Ordenadores,Proyector
2.3;26;Ordenadores,Tarjeta_Grafica,Proyector
2.4;26;Ordenadores,Proyector,Retroproyector_transparencias
2.5;26;Ordenadores,Electronica,Telecomunicaciones
2.6;26;Ordenadores,Proyector,Retroproyector_transparencias
2.7;24;Ordenadores,Proyector
2.8;24;Ordenadores,Electronica,Telecomunicaciones,Proyector
2.9;26;Ordenadores,Electronica,Proyector,Tarjeta_Grafica
2.10;3;Ordenadores,Antenas,Proyector
3.1;42;Ordenadores,Proyector
3.2;26;Ordenadores,Switch,Proyector
3.3;27;Ordenadores,Proyector,Retroproyector_transparencias
3.4;26;Ordenadores,Routers,Switch,Telefonos,Proyector
3.5;26;Ordenadores,Tarjeta_Grafica,Proyector
3.6;26;Ordenadores,Electronica,Telecomunicaciones,Proyector
3.7;26;Ordenadores,Rack_comunicaciones,Switch,Routers,Proyector,Retroproyector_transparencias
3.8;24;Ordenadores,Entrenadores_logicos,Proyector
3.9;24;Ordenadores,Maquetas,Proyector
3.10;26;Ordenadores,Electronica,Telecomunicaciones,Proyector
Polivalente;40;Ordenadores,Proyector
