Name;THours;PHours;Materials;SplitHours;Acronym;Speciality;Year;Semester;Degree;Students;PracticeClassroom
Fundamentos de la Programación;2;2;Ordenadores;False;FP;Troncal;1;1;GII;246;3.1,2.1,2.9,3.9,3.5,2.8,3.2
Fundamentos Físicos y Tecnológicos;2;2;Ordenadores-Resistencias;False;FFT;Troncal;1;1;GII;317;3.6,3.10,2.5
Fundamentos del Software;2;2;Ordenadores;False;FS;Troncal;1;1;GII;192;2.1,3.1,3.2
Cálculo;3;1;Ordenadores;False;CA;Troncal;1;1;GII;260;2.3,2.7,2.1,2.9,-1.1,3.5,3.1,2.2
Álgebra Lineal y Estructuras Matemáticas;3;1;Ordenadores;False;ALEM;Troncal;1;1;GII;357;2.3,2.7,2.1,2.9,-1.1,3.5,3.1
Ingeniería Empresa y Sociedad;4;0;Nada;False;IES;Troncal;1;2;GII;0;
Estadística;3;1;Ordenadores;False;ES;Troncal;1;2;GII;0;2.1,2.2
Lógica y Métodos Discretos;3;1;Ordenadores;False;LMD;Troncal;1;2;GII;0;2.1,2.2
Metodología de la Programación;2;2;Ordenadores;False;MP;Troncal;1;2;GII;0;3.1,2.2
Tecnología y Organización de los Computadores;2;2;Ordenadores-Placas;False;TOC;Troncal;1;2;GII;0;3.8
Estructura de Computadores;2;2;Ordenadores;False;EC;Troncal;2;1;GII;165;2.3,3.7,2.9,2.4
Estructura de Datos;3;1;Ordenadores;False;ED;Troncal;2;1;GII;165;2.2,3.1,3.2,3.9,3.3,2.4,3.3,2.9
Programación y Diseño Orientado a Objetos;2;2;Ordenadores;False;PDOO;Troncal;2;1;GII;164;2.4,3.1,3.2,2.6
Sistemas Concurrentes y Distribuidos;2;2;Ordenadores;False;SCD;Troncal;2;1;GII;127;2.4,2.2,2.6,2.3,2.7
Sistemas Operativos;2;2;Ordenadores;False;SO;Troncal;2;1;GII;177;2.2,2.3,3.2,2.1,2.7,3.3
Arquitectura de Computadores;2;2;Ordenadores;False;AC;Troncal;2;2;GII;0;3.7,2.3,2.4,2.9,2.1
Algorítmica;2;2;Ordenadores;False;ALG;Troncal;2;2;GII;0;3.7,2.6,1.2,1.1,1.3,3.5
Inteligencia Artificial;2;2;Ordenadores;False;IA;Troncal;2;2;GII;0;2.7,
Fundamentos de Bases de Datos;2;2;Ordenadores;False;FBD;Troncal;2;2;GII;0;2.6,3.7,2.2,
Fundamentos de Ingeniería del Software;2;2;Ordenadores;False;FIS;Troncal;2;2;GII;0;2.7,3.7,3.5,2.3,2.6
Ingeniería de Servidores;2;2;Ordenadores;False;ISE;Troncal;3;1;GII;165;2.4,2.3
Fundamentos de Redes;2;2;Ordenadores-Routers;False;FR;Troncal;3;1;GII;125;3.7
Modelos de Computación;2;2;Nada;False;MC;Troncal;3;1;GII;22;3.2,2.6,2.2
Informática Gráfica;2;2;Ordenadores;False;IG;Troncal;3;1;GII;118;3.3,2.4,3.2,3.5
Diseño y Desarrollo de Sistemas de Información;1;3;Ordenadores;False;DDSI;Troncal;3;1;GII;20;3.5,2.4,2.7,3.3,2.3
Desarrollo de Hardware Digital;2;2;Ordenadores;False;DHD;Ingeniería de Computadores;3;2;GII;0;2.2
Sistemas con Microprocesadores;2;2;Ordenadores;False;SMP;Ingeniería de Computadores;3;2;GII;0;3.1
Arquitectura de Sistemas;2;2;Ordenadores;False;AS;Ingeniería de Computadores;3;2;GII;0;3.9
Arquitectura y Computación de Altas Prestaciones;2;2;Ordenadores;False;ACAP;Ingeniería de Computadores;3;2;GII;0;2.9
Diseño de Sistemas Electrónicos;2;2;Ordenadores;False;DSE;Ingeniería de Computadores;3;2;GII;0;3.10
Desarrollo de Software;2;2;Ordenadores;False;DS;Ingeniería del Software;3;2;GII;0;2.3,3.2
Sistemas Gráficos;2;2;Ordenadores;False;SG;Ingeniería del Software;3;2;GII;0;3.2,3.3,2.7
Desarrollo de Sistemas Distribuidos;2;2;Ordenadores;False;DSD;Ingeniería del Software;3;2;GII;0;2.1,2.4,3.5
Diseño de Interfaces de Usuario;2;2;Ordenadores;False;DIU;Ingeniería del Software;3;2;GII;0;3.2,3.3
Sistemas de Información Basados en Web;2;2;Ordenadores;False;SIBW;Ingeniería del Software;3;2;GII;0;2.3,3.2
Modelos de Computación Avanzados;2;2;Ordenadores;False;MCA;Computación y Sistemas Inteligentes;3;2;GII;0;3.6,2.8,3.2
Metaheurísticas;2;2;Ordenadores;False;MH;Computación y Sistemas Inteligentes;3;2;GII;0;3.2,3.3
Técnicas de los Sistemas Inteligentes;2;2;Ordenadores;False;TSI;Computación y Sistemas Inteligentes;3;2;GII;0;3.3,2.7
Ingeniería del Conocimiento;2;2;Ordenadores;False;IC;Computación y Sistemas Inteligentes;3;2;GII;0;3.2,2.8
Aprendizaje Automático;2;2;Ordenadores;False;AA;Computación y Sistemas Inteligentes;3;2;GII;0;3.3,-1.1
Sistemas de Información para Empresas;2;2;Ordenadores;False;SIE;Sistemas de Información;3;2;GII;0;2.3,2.4
Progamación Web;2;2;Ordenadores;False;PW;Sistemas de Información;3;2;GII;0;2.4
Sistemas Multidimensionales;2;2;Ordenadores;False;SMD;Sistemas de Información;3;2;GII;0;3.5,2.2
Ingeniería de Sistemas de Información;2;2;Ordenadores;False;ISI;Sistemas de Información;3;2;GII;0;3.3,3.5
Administración de Bases de Datos;2;2;Ordenadores;False;ABD;Sistemas de Información;3;2;GII;0;3.5,-1.1
Transmisión de Datos y Redes de Computadores;2;2;Ordenadores;False;TDRC;Tecnologías de la Información;3;2;GII;0;3.4
Servidores Web de Altas Prestaciones;2;2;Ordenadores;False;SWAP;Tecnologías de la Información;3;2;GII;0;2.2,2.3
Tecnologías Web;2;2;Ordenadores;False;TW;Tecnologías de la Información;3;2;GII;0;2.3,2.2
Sistemas Multimedia;2;2;Ordenadores;False;SMM;Tecnologías de la Información;3;2;GII;0;2.4,2.3,2.7
Computación Ubicua e Inteligencia Ambiental;2;2;Ordenadores;False;CUIA;Tecnologías de la Información;3;2;GII;0;2.4
Sistemas Empotrados;2;2;Ordenadores;False;SE;Ingeniería de Computadores;4;1;GII;6;-1.1
Tecnologías de Red;2;2;Ordenadores;False;TR;Ingeniería de Computadores;4;1;GII;11;3.4
Centros de Procesamiento de Datos;2;2;Ordenadores;False;CPD;Ingeniería de Computadores;4;1;GII;0;3.5
Implementación de Algoritmos en Hardware;2;2;Ordenadores;False;IAH;Ingeniería de Computadores;4;1;GII;0;2.2
Tecnologías Emergentes;2;2;Ordenadores;False;TE;Ingeniería de Computadores;4;1;GII;0;2.6
Informática Industrial;2;2;Ordenadores;False;II;Ingeniería de Computadores;4;1;GII;0;3.9
Circuitos Integrados e Impresos;2;2;Ordenadores;False;CII;Ingeniería de Computadores;4;2;GII;0;3.9
Mantenimiento de Equipos Informaticos;2;2;Ordenadores;False;MEI;Ingeniería de Computadores;4;2;GII;0;1.1,3.10
Metodologías de Desarrollo Ágil;2;2;Ordenadores;False;MDA;Ingeniería del Software;4;1;GII;5;-1.1,3.3
Desarrollo Basado en Agentes;2;2;Ordenadores;False;DBA;Ingeniería del Software;4;1;GII;7;2.7,3.2
Dirección y Gestión de Proyectos;2;2;Ordenadores;False;DGP;Ingeniería del Software;4;1;GII;5;2.9,3.3
Programación Gráfica de Videojuegos;2;2;Ordenadores;False;PGV;Ingeniería del Software;4;1;GII;4;2.3
Seguridad en Sistemas Operativos;2;2;Ordenadores;False;SSO;Ingeniería del Software;4;1;GII;4;3.2
Lógica y Programación;2;2;Ordenadores;False;LP;Ingeniería del Software;4;1;GII;1;3.2
Animación por Ordenador;2;2;Ordenadores;False;AO;Ingeniería del Software;4;2;GII;0;2.2
Programaciones Paralelas;2;2;Ordenadores;False;PPR;Ingeniería del Software;4;2;GII;0;2.3
Nuevas Tecnologías de la Programación;2;2;Ordenadores;False;NTP;Ingeniería del Software;4;2;GII;0;2.4
Visión por Computador;2;2;Ordenadores;False;VC;Computación y Sistemas Inteligentes;4;1;GII;8;3.2
Nuevos Paradigmas de Interacción;2;2;Ordenadores;False;NPI;Computación y Sistemas Inteligentes;4;1;GII;6;2.6
Procesadores de Lenguajes;2;2;Ordenadores;False;PL;Computación y Sistemas Inteligentes;4;1;GII;9;2.9,2.7
Teoría de la Información y la Codificación;2;2;Ordenadores;False;TIC;Computación y Sistemas Inteligentes;4;1;GII;0;2.6
Simulación de Sistemas;2;2;Ordenadores;False;SS;Computación y Sistemas Inteligentes;4;1;GII;1;3.5
Programación Técnica y Científica;2;2;Ordenadores;False;PTC;Computación y Sistemas Inteligentes;4;1;GII;3;2.6
Programación Lúdica;2;2;Ordenadores;False;PLD;Computación y Sistemas Inteligentes;4;2;GII;0;2.3
Criptografía y Computación;2;2;Ordenadores;False;CRIP;Computación y Sistemas Inteligentes;4;2;GII;0;2.4
Robótica Industrial;2;2;Ordenadores;False;RI;Computación y Sistemas Inteligentes;4;2;GII;0;2.7,3.1
Inteligencia del Negocio;2;2;Ordenadores;False;IN;Sistemas de Información;4;1;GII;16;3.3,3.2
Bases de Datos Distribuidas;2;2;Ordenadores;False;BDD;Sistemas de Información;4;1;GII;16;3.1
Recuperación de Información;2;2;Ordenadores;False;RINF;Sistemas de Información;4;1;GII;13;3.11,2.3
Sistemas de Información Geográficos;2;2;Ordenadores;False;SIG;Sistemas de Información;4;1;GII;2;3.3
Gestión de Recursos Digitales;2;2;Ordenadores;False;GRD;Sistemas de Información;4;1;GII;7;3.3
Redes y Sistemas Complejos;2;2;Ordenadores;False;RSC;Sistemas de Información;4;1;GII;1;3.3
Sistemas Cooperativos y Gestión de Contenidos;2;2;Ordenadores;False;SCGC;Sistemas de Información;4;2;GII;0;2.9
Periféricos y Dispositivos de Interfaz Humana;2;2;Ordenadores;False;PDIH;Sistemas de Información;4;2;GII;0;2.6
Desarrollo de Aplicaciones para Internet;2;2;Ordenadores;False;DAI;Tecnologías de la Información;4;1;GII;26;2.4,3.4,2.8
Infraestructura Virtual;2;2;Ordenadores;False;IV;Tecnologías de la Información;4;1;GII;12;-1.2,2.3
Seguridad y Protección de Sistemas Informáticos;2;2;Ordenadores;False;SPSI;Tecnologías de la Información;4;1;GII;8;2.6,3.3
Tratamiento de Imágenes Digitales;2;2;Ordenadores;False;TID;Tecnologías de la Información;4;1;GII;5;3.3
Compresión y Recuperación de Información Multimedia;2;2;Ordenadores;False;CRIM;Tecnologías de la Información;4;1;GII;5;2.4
Programación de Dispositivos Móviles;2;2;Ordenadores;False;PDM;Tecnologías de la Información;4;2;GII;0;3.5
Procesamiento Digital de Señales;2;2;Ordenadores;False;PDS;Tecnologías de la Información;4;2;GII;0;3.3
Redes Multiservicio;2;2;Ordenadores;False;RMS;Tecnologías de la Información;4;2;GII;0;3.4
Ética Informática y Sociedad de la Informacion;2;2;Ordenadores;False;EISI;Formación Complementaria;4;2;GII;0;2.2
Creación de Empresas y Gestión Emprendedora;2;2;Ordenadores;False;CEGE;Formación Complementaria;4;2;GII;0;1.1
Derecho Informático;2;2;Ordenadores;False;DI;Formación Complementaria;4;2;GII;0;1.1
